"נתוני שערים - הראל קרנות נאמנות בע""מ - הרל.NDX 100 ממ",,
תאריך,שער נעילה (באגורות), מחזור(אלפי ₪)
14/12/2020,12000,1247.94
13/12/2020,11960,41.38
10/12/2020,11890,4910.34
09/12/2020,12200,4470.57
08/12/2020,12110,3963.2
07/12/2020,12090,828.39
06/12/2020,12080,150.42
03/12/2020,12100,1692.01
02/12/2020,11910,18642.59
01/12/2020,11940,1034.33
30/11/2020,11820,7084.72
29/11/2020,11850,447.83
26/11/2020,11790,2178.42
25/11/2020,11690,1272.99
24/11/2020,11550,329.8
23/11/2020,11580,1068.78
22/11/2020,11470,555.18
19/11/2020,11470,703.76
18/11/2020,11570,949.31
17/11/2020,11630,1437.79
16/11/2020,11520,1343.65
15/11/2020,11510,79.16
12/11/2020,11510,2261.02
11/11/2020,11350,5070.24
10/11/2020,11260,5526.97
09/11/2020,11720,2411.68
08/11/2020,11640,169.13
05/11/2020,11600,1446.7
04/11/2020,11260,2655.76
03/11/2020,10760,884.88
02/11/2020,10810,1922.68
01/11/2020,10680,117.21
29/10/2020,10880,1080.14
28/10/2020,10870,1109.58
27/10/2020,11180,718.11
26/10/2020,11190,1508.25
25/10/2020,11270,102.29
22/10/2020,11310,374.5
21/10/2020,11360,618.72
20/10/2020,11370,1889.24
19/10/2020,11530,1443.21
18/10/2020,11410,429.49
15/10/2020,11410,2556.79
14/10/2020,11720,796.2
13/10/2020,11700,2497.44
12/10/2020,11550,1658.52
11/10/2020,11350,225.37
08/10/2020,11170,186.51
07/10/2020,10970,139.89
06/10/2020,11050,466.9
05/10/2020,10990,1275.7
04/10/2020,10940,1667.47
01/10/2020,11170,2001.5
30/09/2020,11030,721.45
29/09/2020,11000,183.76
24/09/2020,10490,3402.36
23/09/2020,10780,1219.88
22/09/2020,10710,5005.36
21/09/2020,10460,3287.13
17/09/2020,10710,1098.84
16/09/2020,11110,460.94
15/09/2020,11110,874.56
14/09/2020,10920,1410.08
13/09/2020,10740,394.7
10/09/2020,11150,2168.59
09/09/2020,10940,4325.2
08/09/2020,10880,8878.63
07/09/2020,11150,918.15
06/09/2020,11400,546.16
03/09/2020,11830,16776.5
02/09/2020,12010,3760.07
01/09/2020,11850,1212.57
31/08/2020,11690,3059.05
30/08/2020,11650,307.64
27/08/2020,11590,1102.99
26/08/2020,11400,1466.85
25/08/2020,11270,2572.48
24/08/2020,11350,4602.78
23/08/2020,11180,196.22
20/08/2020,11020,2066.49
19/08/2020,11010,673.02
18/08/2020,10990,574.94
17/08/2020,10910,1178.39
16/08/2020,10840,17.02
13/08/2020,10850,518.13
12/08/2020,10680,1059.45
11/08/2020,10640,1415.7
10/08/2020,10800,1299.05
09/08/2020,10760,175.16
06/08/2020,10750,518.99
05/08/2020,10770,1887.55
04/08/2020,10710,1558.98
03/08/2020,10730,1053.47
02/08/2020,10530,282.7
29/07/2020,10290,774.66
28/07/2020,10290,1530.4
27/07/2020,10270,1601.85
26/07/2020,10190,312.02
23/07/2020,10510,3002.25
22/07/2020,10530,2791.53
21/07/2020,10600,1823.31
20/07/2020,10340,3246.05
19/07/2020,10310,183.77
16/07/2020,10280,1688.59
15/07/2020,10410,486.87
14/07/2020,10120,4140.53
13/07/2020,10660,3645.91
12/07/2020,10480,365.45
09/07/2020,10430,886.93
08/07/2020,10310,10263.81
07/07/2020,10300,2517.95
06/07/2020,10240,988.28
05/07/2020,10030,135.97
02/07/2020,10060,1465.28
01/07/2020,9880,1977.09
30/06/2020,9678,2251.96
29/06/2020,9469,2239.77
28/06/2020,9480,126.03
25/06/2020,9619,4107.21
24/06/2020,9801,2105.94
23/06/2020,9869,1033.36
22/06/2020,9705,1645.08
21/06/2020,9539,583.87
18/06/2020,9698,2160.58
17/06/2020,9701,6085.63
16/06/2020,9696,504.13
15/06/2020,9237,4504.56
14/06/2020,9449,151.31
11/06/2020,9615,1172.47
10/06/2020,9758,2405.71
09/06/2020,9613,920.62
08/06/2020,9469,2410.21
04/06/2020,9377,718.32
03/06/2020,9405,647.19
02/06/2020,9306,484.41
01/06/2020,9275,2044.06
31/05/2020,9329,134.88
27/05/2020,9063,1089.01
26/05/2020,9298,776.75
25/05/2020,9286,876.74
24/05/2020,9227,164.12
21/05/2020,9215,1519.84
20/05/2020,9205,1123.72
19/05/2020,9124,1199.93
18/05/2020,9044,573.07
17/05/2020,8883,108.76
14/05/2020,8676,2967.9
13/05/2020,8882,2557.48
12/05/2020,9077,8717.72
11/05/2020,8996,10496.01
10/05/2020,9014,184.89
07/05/2020,8864,1400.8
06/05/2020,8735,3253.5
05/05/2020,8706,754.56
04/05/2020,8465,3332.25
03/05/2020,8561,753.72
30/04/2020,8768,2206.01
27/04/2020,8631,4138.88
26/04/2020,8629,483.39
23/04/2020,8512,612.62
22/04/2020,8346,1225.15
21/04/2020,8393,914.1
20/04/2020,8516,3113.19
19/04/2020,8630,508.24
16/04/2020,8446,492.77
13/04/2020,7955,1144.76
12/04/2020,8077,1152.81
07/04/2020,8071,2104.53
06/04/2020,7673,848.91
05/04/2020,7323,321.44
02/04/2020,7348,1053.28
01/04/2020,7398,1252.46
31/03/2020,7740,2614.99
30/03/2020,7538,2717.13
29/03/2020,7291,115.78
26/03/2020,7494,9170.51
25/03/2020,7295,2548.1
24/03/2020,7226,2838.11
23/03/2020,6809,3433.67
22/03/2020,6570,286.31
19/03/2020,7069,11607.6
18/03/2020,7074,11964.85
17/03/2020,6926,3709.12
16/03/2020,7015,2856.14
15/03/2020,7022,1264.61
12/03/2020,7332,3476.66
11/03/2020,7962,9297.03
09/03/2020,7949,19329.38
08/03/2020,7964,3275.11
05/03/2020,8594,2705.26
04/03/2020,8555,2876.17
03/03/2020,8781,3893.2
01/03/2020,8146,841.7
27/02/2020,8549,4367.8
26/02/2020,8809,2534.43
25/02/2020,8972,4718.81
24/02/2020,8988,3158.76
23/02/2020,9260,278.34
20/02/2020,9585,177.48
19/02/2020,9565,761.25
18/02/2020,9482,1157.13
17/02/2020,9526,501.07
16/02/2020,9464,116.8
13/02/2020,9455,658.06
12/02/2020,9452,7721.45
11/02/2020,9436,817.29
10/02/2020,9299,747.15
09/02/2020,9239,706.29
06/02/2020,9277,406.69
05/02/2020,9322,665.44
04/02/2020,9115,2350.09
03/02/2020,8953,15306.13
02/02/2020,8732,1434.38
30/01/2020,8919,815.25
29/01/2020,8997,408.54
28/01/2020,8880,484.27
27/01/2020,8849,1283.05
26/01/2020,8978,981.76
23/01/2020,9064,671.1
22/01/2020,9120,602.89
21/01/2020,9044,517.88
20/01/2020,9068,265.06
19/01/2020,9089,722.74
16/01/2020,8980,610.15
15/01/2020,8940,113.34
